"date_bis","year","month","day","hour","minute","second","longitude","latitude","depth","magnitude","Strike","Dip","Rake","event","channel","component","filtering","motion","station","epidistance","station_latitude","station_longitude"
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","CWF",98.558,52.738499,-1.30767
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","CWF",98.558,52.738499,-1.30767
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","DYA",412.438,50.435329,-3.931
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","DYA",412.438,50.435329,-3.931
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","EDI",335.945,55.92333,-3.1875
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","EDI",335.945,55.92333,-3.1875
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","ESKGB",283.587,55.316502,-3.2052
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","ESKGB",283.587,55.316502,-3.2052
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","GAL1",329.548,54.866329,-4.71133
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","GAL1",329.548,54.866329,-4.71133
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","HLM1",197.485,52.51833,-2.88067
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","HLM1",197.485,52.51833,-2.88067
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","HPK",105.698,53.95817,-1.62417
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","HPK",105.698,53.95817,-1.62417
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","HTL",390.214,50.994339,-4.484829
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","HTL",390.214,50.994339,-4.484829
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","MCH1",238.517,51.99733,-2.99833
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","MCH1",238.517,51.99733,-2.99833
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHE","35Hz","accel","STNC",129.866,53.09133,-2.20617
2008-02-27 00:56:47,2008,2,27,0,56,47,-0.33,53.4,17.8,4.5,91,66,150,"rasen","Hchan","HHN","35Hz","accel","STNC",129.866,53.09133,-2.20617
